Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16
"PLAYER, TEAM POS",TYPE,ACTION,OPP,STATUS ET,    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS
Broncos D/ST D/ST,HOT,,Min,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,12
Colts D/ST D/ST,WA (Wed),,Jax,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,11.9
Seahawks D/ST D/ST,SQUA,,Det,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,11
Panthers D/ST D/ST,GARR,,@TB,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,10.6
Jets D/ST D/ST,GEIS,,@Mia,Sun 9:30 AM,0/0,0,0,0,0,0,0,0,0,0,10.2
Titans D/ST D/ST,WA (Wed),,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--,
Patriots D/ST D/ST,ME,,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--,
Eagles D/ST D/ST,WA (Wed),,@Wsh,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,9.2
Rams D/ST D/ST,WA (Wed),,@Ari,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,8.9
Bills D/ST D/ST,HBOY,,NYG,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.8
Cardinals D/ST D/ST,DAMN,,StL,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,8.4
Dolphins D/ST D/ST,WA (Wed),,NYJ,Sun 9:30 AM,0/0,0,0,0,0,0,0,0,0,0,7.9
Packers D/ST D/ST,ðŸ˜˜,,@SF,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,7.3
Buccaneers D/ST D/ST,WA (Wed),,Car,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.9
Bears D/ST D/ST,WA (Wed),,Oak,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.8
Bengals D/ST D/ST,WA (Wed),,KC,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.7
Browns D/ST D/ST,TD'S,,@SD,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,6.5
Chargers D/ST D/ST,WA (Wed),,Cle,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,6.3
Texans D/ST D/ST,GARR,,@Atl,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.2
Giants D/ST D/ST,WA (Wed),,@Buf,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.1
Raiders D/ST D/ST,WA (Wed),,@Chi,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,5.6
Lions D/ST D/ST,WA (Wed),,@Sea,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,5.6
Chiefs D/ST D/ST,WA (Wed),,@Cin,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,4.9
Steelers D/ST D/ST,WA (Wed),,Bal,Thu 8:25,0/0,0,0,0,0,0,0,0,0,0,4.5
Vikings D/ST D/ST,WA (Wed),,@Den,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,4.1
Ravens D/ST D/ST,SWIZ,,@Pit,Thu 8:25,0/0,0,0,0,0,0,0,0,0,0,4.1
Redskins D/ST D/ST,WA (Wed),,Phi,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,4
Cowboys D/ST D/ST,WA (Wed),,@NO,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,3.2
49ers D/ST D/ST,WA (Wed),,GB,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,2.6
Jaguars D/ST D/ST,WA (Wed),,@Ind,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,2.5
Saints D/ST D/ST,WA (Wed),,Dal,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,2.4
Falcons D/ST D/ST,WA (Wed),,Hou,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,1.7
