Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16
"PLAYER, TEAM POS",TYPE,ACTION,OPP,STATUS ET,    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS
"Andrew Luck, Ind QB",SQUA,,Jax,Sun 1:00,21.3/34.7,256.4,2.2,0.8,3.6,16.9,0.1,0,0,0,23.2
"Aaron Rodgers, GB QB",TD'S,,@SF,Sun 4:25,21.3/32.4,260.5,1.9,0.5,3.5,18.2,0.1,0,0,0,22
"Peyton Manning, Den QB",SWIZ,,Min,Sun 4:25,25.7/39.1,310.2,1.9,0.7,1.4,-0.4,0,0,0,0,21.9
"Russell Wilson, Sea QB",GARR,,Det,Mon 8:30,17.7/28,215.6,1.6,0.6,6.6,40.8,0.2,0,0,0,21.3
"Drew Brees, NO QB  Q",ðŸ˜˜,,Dal,Sun 8:30,25.6/38.9,313.2,1.8,0.8,1.6,2.6,0.1,0,0,0,21.2
"Cam Newton, Car QB",HBOY,,@TB,Sun 1:00,19.8/31.6,235.3,1.4,0.9,7.7,40.7,0.3,0,0,0,20.6
"Carson Palmer, Ari QB",SQUA,,StL,Sun 4:25,21.4/32.5,256.8,1.9,0.8,1.6,2.7,0.1,0,0,0,20.1
"Michael Vick, Pit QB",WA (Wed),,Bal,Thu 8:25,20.4/34.2,242,1.6,0.8,5.8,36.7,0.1,0,0,0,19.8
"Tyrod Taylor, Buf QB",WA (Wed),,NYG,Sun 1:00,17.9/26.9,202.8,1.6,1,6.6,31.8,0.3,0,0,0,19.5
"Matt Ryan, Atl QB",HOT,,Hou,Sun 1:00,23.2/35.2,273.2,1.8,0.7,2.1,6.8,0.1,0,0,0,19.5
"Philip Rivers, SD QB",ME,,Cle,Sun 4:05,21.1/32.5,262.2,1.8,0.9,2,4.3,0,0,0,0,19.1
"Jay Cutler*, Chi QB  O",WA (Wed),,Oak,Sun 1:00,21.5/32.7,253.7,1.5,0.9,3,13.6,0.1,0,0,0,18
"Colin Kaepernick, SF QB",HOT,,GB,Sun 4:25,19.9/31.8,237.9,1.1,0.8,6.3,39,0.2,0,0,0,17.7
"Joe Flacco, Bal QB",WA (Wed),,@Pit,Thu 8:25,22.1/35.2,248.7,1.6,0.7,2.5,5.2,0.1,0,0,0,17.4
"Ryan Tannehill, Mia QB",DAMN,,NYJ,Sun 9:30 AM,23.9/38.4,270.6,1.4,1,3,14.3,0.1,0,0,0,17.4
"Blake Bortles, Jax QB",WA (Wed),,@Ind,Sun 1:00,21.7/35.7,253.1,1.2,1,3.8,22.4,0.1,0,0,0,16.9
"Alex Smith, KC QB",WA (Wed),,@Cin,Sun 1:00,22.1/35.5,232.1,1.2,0.7,3.7,18.9,0.1,0,0,0,16.3
"Eli Manning, NYG QB",SWIZ,,@Buf,Sun 1:00,24.4/40,293.4,1.4,1.3,1,1.9,0,0,0,0,16.2
"Andy Dalton, Cin QB",WA (Wed),,KC,Sun 1:00,19.9/31.7,229.9,1.4,1,3.2,9.8,0.1,0,0,0,16.2
"Ryan Mallett, Hou QB",WA (Wed),,@Atl,Sun 1:00,22.2/35.9,272,1.3,1,1.9,4.8,0.1,0,0,0,15.9
"Derek Carr, Oak QB",WA (Wed),,@Chi,Sun 1:00,22.7/36.9,241.2,1.5,0.9,2,6.1,0,0,0,0,15.7
"Brandon Weeden, Dal QB",WA (Wed),,@NO,Sun 8:30,20.2/32.2,228.8,1.4,0.9,1.9,6.1,0.1,0,0,0,15.6
"Jameis Winston, TB QB",ME,,Car,Sun 1:00,20.3/33.4,251.4,1.1,1.1,4.3,16.4,0.1,0,0,0,15.6
"Sam Bradford, Phi QB",WA (Wed),,@Wsh,Sun 1:00,23.2/37.1,243.4,1.3,0.9,2.1,5.3,0.1,0,0,0,15.3
"Matthew Stafford, Det QB",WA (Wed),,@Sea,Mon 8:30,23.7/39.2,268.3,1.3,1.1,2.2,6.8,0.1,0,0,0,15.2
"Ryan Fitzpatrick, NYJ QB",WA (Wed),,@Mia,Sun 9:30 AM,19.7/32.3,218.9,1.3,1.1,3.6,15,0.1,0,0,0,14.8
"Kirk Cousins, Wsh QB",WA (Wed),,Phi,Sun 1:00,22.4/36.1,264.1,1.1,1.1,1.4,4.1,0,0,0,0,13.9
"Teddy Bridgewater, Min QB",ðŸ˜˜,,@Den,Sun 4:25,19.2/32.2,222.5,1,0.9,3.4,18.5,0.1,0,0,0,13.6
"Nick Foles, StL QB",WA (Wed),,@Ari,Sun 4:25,23.1/37.2,256,0.9,0.9,2.1,9.4,0.1,0,0,0,13.4
"Josh McCown, Cle QB  P",WA (Wed),,@SD,Sun 4:05,18.6/32.3,220.5,0.9,0.9,2.8,13.8,0.1,0,0,0,12.7
