Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16
"PLAYER, TEAM POS",TYPE,ACTION,OPP,STATUS ET,    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS
"Greg Olsen, Car TE",GARR,,@TB,Sun 1:00,0/0,0,0,0,0,0,0,5,61.4,0.4,8.1
"Tyler Eifert, Cin TE",SWIZ,,KC,Sun 1:00,0/0,0,0,0,0,0,0,4.4,51.7,0.4,7.2
"Jason Witten, Dal TE",GARR,,@NO,Sun 8:30,0/0,0,0,0,0,0,0,4.4,51.2,0.3,6.9
"Travis Kelce, KC TE",ðŸ˜˜,,@Cin,Sun 1:00,0/0,0,0,0,0,0,0,5.2,56.6,0.3,6.9
"Jimmy Graham, Sea TE",ME,,Det,Mon 8:30,0/0,0,0,0,0,0,0,3.7,44.4,0.5,6.9
"Martellus Bennett, Chi TE",GEIS,,Oak,Sun 1:00,0/0,0,0,0,0,0,0,4.7,51.7,0.3,6.9
"Jordan Reed, Wsh TE",SWIZ,,Phi,Sun 1:00,0/0,0,0,0,0,0,0,4.8,50.7,0.3,6.6
"Ladarius Green, SD TE  Q",WA (Wed),,Cle,Sun 4:05,0/0,0,0,0,0,0,0,3.6,43.3,0.4,6.1
"Jordan Cameron, Mia TE",GEIS,,NYJ,Sun 9:30 AM,0/0,0,0,0,0,0,0,3.6,43.5,0.3,5.6
"Zach Ertz, Phi TE",HBOY,,@Wsh,Sun 1:00,0/0,0,0,0,0,0,0,3.4,43,0.3,5.6
"Eric Ebron, Det TE",TD'S,,@Sea,Mon 8:30,0/0,0,0,0,0,0,0,4.2,46.9,0.3,5.5
"Vernon Davis, SF TE  Q",WA (Wed),,GB,Sun 4:25,0/0,0,0,0,0,0,0,3.2,40.9,0.2,5.4
"Charles Clay, Buf TE",WA (Wed),,NYG,Sun 1:00,0/0,0,0,0,0,0,0,3.3,36.8,0.4,5.1
"Jared Cook, StL TE",WA (Wed),,@Ari,Sun 4:25,0/0,0,0,0,0,0,0,4,47,0.2,5.1
"Richard Rodgers, GB TE",WA (Wed),,@SF,Sun 4:25,0/0,0,0,0,0,0,0,3,33.2,0.3,5.1
"Crockett Gillmore, Bal TE  Q",WA (Wed),,@Pit,Thu 8:25,0/0,0,0,0,0,0,0,3.1,33.1,0.3,4.9
"Heath Miller, Pit TE",DAMN,,Bal,Thu 8:25,0/0,0,0,0,0,0,0,3.3,35.8,0.3,4.9
"Owen Daniels, Den TE",HOT,,Min,Sun 4:25,0/0,0,0,0,0,0,0,3.1,34.7,0.3,4.7
"Larry Donnell, NYG TE",SQUA,,@Buf,Sun 1:00,0/0,0,0,0,0,0,0,3.1,36.4,0.2,4.4
"Benjamin Watson, NO TE",WA (Wed),,Dal,Sun 8:30,0/0,0,0,0,0,0,0,2.7,30.6,0.2,4.4
"Kyle Rudolph, Min TE",WA (Wed),,@Den,Sun 4:25,0/0,0,0,0,0,0,0,3.7,39.4,0.2,4.3
"Dwayne Allen, Ind TE  Q",SQUA,,Jax,Sun 1:00,0/0,0,0,0,0,0,0,2.2,24.5,0.3,3.7
"Darren Fells, Ari TE",WA (Wed),,StL,Sun 4:25,0/0,0,0,0,0,0,0,1.8,21.6,0.2,3.3
"Jacob Tamme, Atl TE  Q",WA (Wed),,Hou,Sun 1:00,0/0,0,0,0,0,0,0,2.7,29.8,0.2,3.3
"Marcedes Lewis, Jax TE",WA (Wed),,@Ind,Sun 1:00,0/0,0,0,0,0,0,0,2.5,28,0.2,3.1
"Garrett Graham, Hou TE",WA (Wed),,@Atl,Sun 1:00,0/0,0,0,0,0,0,0,2.3,25.8,0.2,2.9
"Brandon Myers, TB TE",WA (Wed),,Car,Sun 1:00,0/0,0,0,0,0,0,0,2.2,25,0.1,2.8
"Gary Barnidge, Cle TE",WA (Wed),,@SD,Sun 4:05,0/0,0,0,0,0,0,0,1.9,24.4,0.1,2.8
"Lance Kendricks, StL TE",WA (Wed),,@Ari,Sun 4:25,0/0,0,0,0,0,0,0,2.1,23,0.1,2.7
"Gavin Escobar, Dal TE",WA (Wed),,@NO,Sun 8:30,0/0,0,0,0,0,0,0,1.6,18.9,0.2,2.3
"Coby Fleener, Ind TE",WA (Wed),,Jax,Sun 1:00,0/0,0,0,0,0,0,0,1.4,16.4,0.2,2.1
"Mychal Rivera, Oak TE",WA (Wed),,@Chi,Sun 1:00,0/0,0,0,0,0,0,0,1.7,19.5,0.2,2
"Jeff Cumberland, NYJ TE  Q",WA (Wed),,@Mia,Sun 9:30 AM,0/0,0,0,0,0,0,0,1.6,19.6,0.1,1.8
"Dion Sims, Mia TE  Q",WA (Wed),,NYJ,Sun 9:30 AM,0/0,0,0,0,0,0,0,1.4,15.8,0.1,1.7
"Josh Hill, NO TE",WA (Wed),,Dal,Sun 8:30,0/0,0,0,0,0,0,0,1,10.4,0.1,1.6
"Jermaine Gresham, Ari TE",WA (Wed),,StL,Sun 4:25,0/0,0,0,0,0,0,0,1.2,12.4,0.1,1.6
"Daniel Fells, NYG TE",WA (Wed),,@Buf,Sun 1:00,0/0,0,0,0,0,0,0,1.4,16.1,0.1,1.6
"Ed Dickson, Car TE",WA (Wed),,@TB,Sun 1:00,0/0,0,0,0,0,0,0,1.4,16.4,0.1,1.5
"Maxx Williams, Bal TE",WA (Wed),,@Pit,Thu 8:25,0/0,0,0,0,0,0,0,0.9,10.1,0.1,1.5
"Clay Harbor, Jax TE",WA (Wed),,@Ind,Sun 1:00,0/0,0,0,0,0,0,0,1.1,12.9,0.1,1.4
