Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16
"PLAYER, TEAM POS",TYPE,ACTION,OPP,STATUS ET,    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS
"Julio Jones, Atl WR",HBOY,,Hou,Sun 1:00,0/0,0,0,0,0.1,0.9,0,7.6,99,0.7,12.9
"Demaryius Thomas, Den WR",GARR,,Min,Sun 4:25,0/0,0,0,0,0,0,0,7.2,92.7,0.6,12.6
"Emmanuel Sanders, Den WR",SWIZ,,Min,Sun 4:25,0/0,0,0,0,0.5,3.5,0,6.4,90.2,0.5,12
"Antonio Brown, Pit WR",ME,,Bal,Thu 8:25,0/0,0,0,0,0.4,2.4,0,6.4,83.3,0.5,11.3
"Randall Cobb, GB WR  P",TD'S,,@SF,Sun 4:25,0/0,0,0,0,0.8,5.4,0,6,80.3,0.5,11.1
"Calvin Johnson, Det WR",GEIS,,@Sea,Mon 8:30,0/0,0,0,0,0,0,0,5.7,81.2,0.5,10.8
"Odell Beckham Jr., NYG WR",ðŸ˜˜,,@Buf,Sun 1:00,0/0,0,0,0,0.3,2.2,0,6.6,86.7,0.4,10.3
"Larry Fitzgerald, Ari WR",ðŸ˜˜,,StL,Sun 4:25,0/0,0,0,0,0,0,0,5.4,70.3,0.5,10.2
"A.J. Green, Cin WR",HOT,,KC,Sun 1:00,0/0,0,0,0,0.3,1.9,0,5.4,78.5,0.5,10.1
"DeAndre Hopkins, Hou WR",HBOY,,@Atl,Sun 1:00,0/0,0,0,0,0,0,0,5.7,82.3,0.3,9.9
"Alshon Jeffery, Chi WR  Q",SQUA,,Oak,Sun 1:00,0/0,0,0,0,0.3,1.9,0,5,71.3,0.5,9.8
"Brandon Marshall, NYJ WR",HBOY,,@Mia,Sun 9:30 AM,0/0,0,0,0,0,0,0,6,71.7,0.5,9.8
"Keenan Allen, SD WR",ME,,Cle,Sun 4:05,0/0,0,0,0,0,0,0,5.4,72.2,0.4,9.5
"Mike Evans, TB WR",SQUA,,Car,Sun 1:00,0/0,0,0,0,0,0,0,4.8,72.4,0.3,9
"Sammy Watkins, Buf WR  Q",HOT,,NYG,Sun 1:00,0/0,0,0,0,0.3,2,0,4.4,61.5,0.5,9
"Allen Robinson, Jax WR",ðŸ˜˜,,@Ind,Sun 1:00,0/0,0,0,0,0,0,0,5.1,71.4,0.3,8.7
"Michael Crabtree, Oak WR",WA (Wed),,@Chi,Sun 1:00,0/0,0,0,0,0,0,0,5.1,60.5,0.4,8.5
"Jordan Matthews, Phi WR",ME,,@Wsh,Sun 1:00,0/0,0,0,0,0,0,0,5.6,62.1,0.4,8.3
"Steve Smith Sr., Bal WR",DAMN,,@Pit,Thu 8:25,0/0,0,0,0,0,0,0,4.8,64.7,0.4,8.2
"Jarvis Landry, Mia WR",HOT,,NYJ,Sun 9:30 AM,0/0,0,0,0,0.7,4.6,0,6,62.9,0.3,8.1
"Brandin Cooks, NO WR",HOT,,Dal,Sun 8:30,0/0,0,0,0,0.8,5.1,0,4.5,61.9,0.3,8
"Jeremy Maclin, KC WR",TD'S,,@Cin,Sun 1:00,0/0,0,0,0,0.2,1.4,0,5.4,69.3,0.3,7.8
"Vincent Jackson, TB WR",HBOY,,Car,Sun 1:00,0/0,0,0,0,0,0,0,4,61.3,0.3,7.7
"Donte Moncrief, Ind WR",TD'S,,Jax,Sun 1:00,0/0,0,0,0,0.3,1.8,0,3.9,51.1,0.4,7.7
"T.Y. Hilton, Ind WR",HOT,,Jax,Sun 1:00,0/0,0,0,0,0.3,1.8,0,4.3,59.3,0.4,7.6
"Pierre Garcon, Wsh WR",GARR,,Phi,Sun 1:00,0/0,0,0,0,0,0,0,4.8,60.7,0.2,7.4
"DeSean Jackson, Wsh WR  Q",GEIS,,Phi,Sun 1:00,0/0,0,0,0,0.3,1.9,0,4.3,65.1,0.2,7.3
"Davante Adams, GB WR  Q",GARR,,@SF,Sun 4:25,0/0,0,0,0,0,0,0,4.1,58.3,0.4,7.3
"John Brown, Ari WR",SQUA,,StL,Sun 4:25,0/0,0,0,0,0.3,1.8,0,3.7,52.8,0.3,7.1
"Ted Ginn Jr., Car WR",WA (Wed),,@TB,Sun 1:00,0/0,0,0,0,0.3,1.9,0,3.5,51.4,0.3,6.8
"Marques Colston, NO WR",SWIZ,,Dal,Sun 8:30,0/0,0,0,0,0,0,0,3.6,53.2,0.3,6.8
"Doug Baldwin, Sea WR",ME,,Det,Mon 8:30,0/0,0,0,0,0.1,1,0,3.8,50.5,0.3,6.6
"Amari Cooper, Oak WR",SQUA,,@Chi,Sun 1:00,0/0,0,0,0,0.2,1.6,0,5.5,59,0.3,6.6
"Andre Johnson, Ind WR",GARR,,Jax,Sun 1:00,0/0,0,0,0,0,0,0,3.4,42.2,0.4,6.5
"Nate Washington, Hou WR",WA (Wed),,@Atl,Sun 1:00,0/0,0,0,0,0,0,0,3.5,53.4,0.2,6.4
"Anquan Boldin, SF WR",WA (Wed),,GB,Sun 4:25,0/0,0,0,0,0,0,0,4.7,57.3,0.2,6.4
"Golden Tate, Det WR",TD'S,,@Sea,Mon 8:30,0/0,0,0,0,0.2,1.3,0,4.6,55.7,0.2,6.4
