"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"C","DeMarcus Cousins",11100,"Sac@Min 08:00PM ET",47.964
"PG","Ty Lawson",9700,"Den@Chi 08:00PM ET",38.016
"PF","Pau Gasol",8900,"Den@Chi 08:00PM ET",40.198
"SG","Jimmy Butler",8800,"Den@Chi 08:00PM ET",38.533
"SF","Rudy Gay",8600,"Sac@Min 08:00PM ET",38.208
"C","Joakim Noah",7400,"Den@Chi 08:00PM ET",30.240
"PG","Ricky Rubio",7200,"Sac@Min 08:00PM ET",32.700
"PG","Derrick Rose",7000,"Den@Chi 08:00PM ET",29.023
"SF","Shabazz Muhammad",6900,"Sac@Min 08:00PM ET",21.675
"C","Gorgui Dieng",6700,"Sac@Min 08:00PM ET",27.417
"PG","Darren Collison",6600,"Sac@Min 08:00PM ET",32.681
"PF","Kenneth Faried",6500,"Den@Chi 08:00PM ET",25.198
"SF","Wilson Chandler",6300,"Den@Chi 08:00PM ET",26.508
"PF","Thaddeus Young",6200,"Sac@Min 08:00PM ET",27.300
"SG","Arron Afflalo",6000,"Den@Chi 08:00PM ET",22.281
"SF","Andrew Wiggins",5800,"Sac@Min 08:00PM ET",22.492
"PF","Taj Gibson",5600,"Den@Chi 08:00PM ET",26.163
"SG","Kevin Martin",5400,"Sac@Min 08:00PM ET",29.694
"C","Timofey Mozgov",5200,"Den@Chi 08:00PM ET",22.828
"SG","Ben McLemore",5200,"Sac@Min 08:00PM ET",19.922
"PG","Aaron Brooks",4900,"Den@Chi 08:00PM ET",18.477
"C","J.J. Hickson",4800,"Den@Chi 08:00PM ET",18.042
"C","Jusuf Nurkic",4800,"Den@Chi 08:00PM ET",14.425
"C","JaVale McGee",4600,"Den@Chi 08:00PM ET",11.214
"PG","Zach LaVine",4500,"Sac@Min 08:00PM ET",18.991
"SF","Mike Dunleavy",4400,"Den@Chi 08:00PM ET",19.430
"PF","Nikola Mirotic",4400,"Den@Chi 08:00PM ET",18.914
"PF","Jason Thompson",4300,"Sac@Min 08:00PM ET",15.831
"PG","Mo Williams",4200,"Sac@Min 08:00PM ET",23.848
"SG","Randy Foye",4200,"Den@Chi 08:00PM ET",14.659
"C","Nikola Pekovic",4000,"Sac@Min 08:00PM ET",24.806
"PG","Nate Robinson",3800,"Den@Chi 08:00PM ET",11.214
"PF","Darrell Arthur",3800,"Den@Chi 08:00PM ET",17.340
"SF","Derrick Williams",3600,"Sac@Min 08:00PM ET",9.778
"PF","Reggie Evans",3400,"Sac@Min 08:00PM ET",14.826
"SF","Omri Casspi",3400,"Sac@Min 08:00PM ET",15.090
"PF","Carl Landry",3300,"Sac@Min 08:00PM ET",14.742
"SF","Chase Budinger",3300,"Sac@Min 08:00PM ET",10.288
"PF","Anthony Bennett",3300,"Sac@Min 08:00PM ET",13.216
"SF","Doug McDermott",3200,"Den@Chi 08:00PM ET",5.706
"PG","Kirk Hinrich",3100,"Den@Chi 08:00PM ET",16.740
"SF","Danilo Gallinari",3100,"Den@Chi 08:00PM ET",14.771
"C","Nazr Mohammed",3000,"Den@Chi 08:00PM ET",4.063
"C","Ryan Hollins",3000,"Sac@Min 08:00PM ET",7.063
"PG","Ramon Sessions",3000,"Sac@Min 08:00PM ET",12.390
"SF","Jeff Adrien",3000,"Sac@Min 08:00PM ET",12.125
"SF","Alonzo Gee",3000,"Den@Chi 08:00PM ET",9.615
"SF","Robbie Hummel",3000,"Sac@Min 08:00PM ET",7.480
"PG","E'Twaun Moore",3000,"Den@Chi 08:00PM ET",4.206
"PG","Erick Green",3000,"Den@Chi 08:00PM ET",6.444
"PG","Troy Daniels",3000,"Sac@Min 08:00PM ET",3.852
"SG","Tony Snell",3000,"Den@Chi 08:00PM ET",4.096
"PF","Cameron Bairstow",3000,"Den@Chi 08:00PM ET",2.071
"PF","Eric Moreland",3000,"Sac@Min 08:00PM ET",1.083
"PG","Ray McCallum",3000,"Sac@Min 08:00PM ET",8.237
"SF","Glenn Robinson III",3000,"Sac@Min 08:00PM ET",2.692
"SG","Nik Stauskas",3000,"Sac@Min 08:00PM ET",7.055
"SG","Gary Harris",3000,"Den@Chi 08:00PM ET",8.786
