"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF","LeBron James",11600,"Atl@Cle 07:00PM ET",46.950
"SG","James Harden",11400,"Hou@Den 10:30PM ET",48.619
"PF","LaMarcus Aldridge",10700,"Mil@Por 10:00PM ET",41.190
"PF","Blake Griffin",10400,"Ind@LAC 10:30PM ET",40.464
"PG","Chris Paul",10300,"Ind@LAC 10:30PM ET",44.167
"PG","Kyle Lowry",10200,"Bkn@Tor 08:00PM ET",40.602
"PG","Ty Lawson",9400,"Hou@Den 10:30PM ET",38.524
"PF","Kevin Love",9300,"Atl@Cle 07:00PM ET",35.800
"C","Nikola Vucevic",9200,"Orl@Bos 07:30PM ET",39.592
"PG","Kyrie Irving",9100,"Atl@Cle 07:00PM ET",36.925
"C","Dwight Howard",9000,"Hou@Den 10:30PM ET",40.475
"SG","Eric Bledsoe",8900,"Pho@Cha 07:00PM ET",34.761
"PF","Paul Millsap",8800,"Atl@Cle 07:00PM ET",36.929
"C","Marc Gasol",8700,"Mem@SA 08:30PM ET",39.202
"PF","Tim Duncan",8600,"Mem@SA 08:30PM ET",38.395
"PG","Rajon Rondo",8500,"Orl@Bos 07:30PM ET",37.237
"C","Chris Bosh",8400,"Uta@Mia 07:30PM ET",38.830
"PG","Damian Lillard",8400,"Mil@Por 10:00PM ET",38.989
"C","Al Jefferson",8300,"Pho@Cha 07:00PM ET",35.583
"C","Andre Drummond",8200,"Dal@Det 07:30PM ET",31.591
"SG","Dwyane Wade",8100,"Uta@Mia 07:30PM ET",35.583
"SG","Monta Ellis",7900,"Dal@Det 07:30PM ET",33.531
"PG","Mike Conley",7900,"Mem@SA 08:30PM ET",32.202
"C","DeAndre Jordan",7900,"Ind@LAC 10:30PM ET",32.464
"PG","Kemba Walker",7900,"Pho@Cha 07:00PM ET",32.500
"PG","Goran Dragic",7800,"Pho@Cha 07:00PM ET",28.065
"PG","Deron Williams",7700,"Bkn@Tor 08:00PM ET",33.663
"SF","Josh Smith",7700,"Dal@Det 07:30PM ET",34.193
"SG","DeMar DeRozan",7600,"Bkn@Tor 08:00PM ET",30.766
"PF","Derrick Favors",7500,"Uta@Mia 07:30PM ET",33.202
