"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"RB","Le'Veon Bell",9000,"Bal@Pit 08:15PM ET",24.094
"WR","Antonio Brown",8900,"Bal@Pit 08:15PM ET",25.806
"WR","Calvin Johnson",8800,"Det@Dal 04:40PM ET",18.592
"RB","DeMarco Murray",8800,"Det@Dal 04:40PM ET",24.506
"QB","Andrew Luck",8800,"Cin@Ind 01:05PM ET",25.234
"WR","Dez Bryant",8500,"Det@Dal 04:40PM ET",20.500
"WR","A.J. Green",8000,"Cin@Ind 01:05PM ET",17.100
"WR","T.Y. Hilton",7800,"Cin@Ind 01:05PM ET",18.500
"QB","Cam Newton",7600,"Ari@Car 04:35PM ET",19.427
"QB","Tony Romo",7500,"Det@Dal 04:40PM ET",18.753
"QB","Ben Roethlisberger",7300,"Bal@Pit 08:15PM ET",21.699
"QB","Matthew Stafford",7200,"Det@Dal 04:40PM ET",17.411
"QB","Joe Flacco",6700,"Bal@Pit 08:15PM ET",18.090
"RB","Jeremy Hill",6200,"Cin@Ind 01:05PM ET",14.244
"RB","Justin Forsett",6100,"Bal@Pit 08:15PM ET",16.369
"QB","Andy Dalton",6100,"Cin@Ind 01:05PM ET",15.851
"WR","Kelvin Benjamin",5900,"Ari@Car 04:35PM ET",14.738
"RB","Giovani Bernard",5600,"Cin@Ind 01:05PM ET",14.685
"TE","Greg Olsen",5500,"Ari@Car 04:35PM ET",14.363
"WR","Golden Tate",5500,"Det@Dal 04:40PM ET",17.131
"RB","Joique Bell",5500,"Det@Dal 04:40PM ET",13.280
"WR","Torrey Smith",5400,"Bal@Pit 08:15PM ET",11.981
"RB","Jonathan Stewart",5300,"Ari@Car 04:35PM ET",11.769
"QB","Ryan Lindley",5200,"Ari@Car 04:35PM ET",9.827
"WR","Michael Floyd",5200,"Ari@Car 04:35PM ET",10.956
"QB","Matt Hasselbeck",5000,"Cin@Ind 01:05PM ET",4.485
"WR","Steve Smith Sr.",5000,"Bal@Pit 08:15PM ET",14.531
"QB","Jason Campbell",5000,"Cin@Ind 01:05PM ET",0.515
"QB","Derek Anderson",5000,"Ari@Car 04:35PM ET",8.407
"QB","Bruce Gradkowski",5000,"Bal@Pit 08:15PM ET",-0.200
"QB","Dan Orlovsky",5000,"Det@Dal 04:40PM ET",0.000
"QB","Drew Stanton",5000,"Ari@Car 04:35PM ET",11.416
"QB","Joe Webb",5000,"Ari@Car 04:35PM ET",0.371
"QB","Kellen Moore",5000,"Det@Dal 04:40PM ET",0
"QB","Brandon Weeden",5000,"Det@Dal 04:40PM ET",3.670
"QB","Tyrod Taylor",5000,"Bal@Pit 08:15PM ET",-0.300
"TE","Coby Fleener",5000,"Cin@Ind 01:05PM ET",11.400
"QB","Landry Jones",5000,"Bal@Pit 08:15PM ET",0
"QB","Logan Thomas",5000,"Ari@Car 04:35PM ET",3.620
"QB","AJ McCarron",5000,"Cin@Ind 01:05PM ET",0
"QB","Dustin Vaughan",5000,"Det@Dal 04:40PM ET",0
"RB","Reggie Bush",4800,"Det@Dal 04:40PM ET",9.727
"WR","Larry Fitzgerald",4700,"Ari@Car 04:35PM ET",11.314
"RB","Daniel Herron",4700,"Cin@Ind 01:05PM ET",4.838
"TE","Jason Witten",4500,"Det@Dal 04:40PM ET",10.269
"RB","Dri Archer",4500,"Bal@Pit 08:15PM ET",1.108
"WR","Reggie Wayne",4300,"Cin@Ind 01:05PM ET",10.393
"WR","Mohamed Sanu",4200,"Cin@Ind 01:05PM ET",11.579
"WR","John Brown",4100,"Ari@Car 04:35PM ET",9.375
"WR","Martavis Bryant",4100,"Bal@Pit 08:15PM ET",13.610
"RB","DeAngelo Williams",4000,"Ari@Car 04:35PM ET",5.050
"TE","Heath Miller",3900,"Bal@Pit 08:15PM ET",10.256
"TE","Dwayne Allen",3800,"Cin@Ind 01:05PM ET",8.962
"TE","Jermaine Gresham",3700,"Cin@Ind 01:05PM ET",9.200
"WR","Cole Beasley",3700,"Det@Dal 04:40PM ET",6.313
"RB","Kerwynn Williams",3700,"Ari@Car 04:35PM ET",6.140
"WR","Donte Moncrief",3600,"Cin@Ind 01:05PM ET",6.381
"DST","Panthers ",3500,"Ari@Car 04:35PM ET",7.313
"RB","Josh Harris",3500,"Bal@Pit 08:15PM ET",0.320
"WR","Jerricho Cotchery",3400,"Ari@Car 04:35PM ET",7.600
"WR","Terrance Williams",3400,"Det@Dal 04:40PM ET",9.194
"RB","Trent Richardson",3400,"Cin@Ind 01:05PM ET",7.920
"TE","Owen Daniels",3300,"Bal@Pit 08:15PM ET",8.313
"WR","Hakeem Nicks",3300,"Cin@Ind 01:05PM ET",6.406
"DST","Cowboys ",3200,"Det@Dal 04:40PM ET",7.438
"DST","Lions ",3200,"Det@Dal 04:40PM ET",8.250
"RB","Theo Riddick",3200,"Det@Dal 04:40PM ET",6.764
"DST","Colts ",3100,"Cin@Ind 01:05PM ET",8.188
"DST","Ravens ",3100,"Bal@Pit 08:15PM ET",9.188
"WR","Jaron Brown",3100,"Ari@Car 04:35PM ET",3.556
"RB","Zurlon Tipton",3100,"Cin@Ind 01:05PM ET",3.433
"WR","Markus Wheaton",3100,"Bal@Pit 08:15PM ET",8.206
"DST","Steelers ",3000,"Bal@Pit 08:15PM ET",7.438
"TE","Mike Leach",3000,"Ari@Car 04:35PM ET",0.000
"WR","Josh Cribbs",3000,"Cin@Ind 01:05PM ET",0.300
"WR","Lance Moore",3000,"Bal@Pit 08:15PM ET",3.414
"TE","Matt Spaeth",3000,"Bal@Pit 08:15PM ET",1.040
"TE","Clark Harris",3000,"Cin@Ind 01:05PM ET",0.000
"RB","Tyler Clutts",3000,"Det@Dal 04:40PM ET",0.069
"TE","John Carlson",3000,"Ari@Car 04:35PM ET",4.750
"WR","Ted Ginn Jr.",3000,"Ari@Car 04:35PM ET",2.500
"TE","Brandon Pettigrew",3000,"Det@Dal 04:40PM ET",1.214
"TE","Kellen Davis",3000,"Det@Dal 04:40PM ET",0.000
"TE","Darren Fells",3000,"Ari@Car 04:35PM ET",1.210
"TE","Kevin Brock",3000,"Cin@Ind 01:05PM ET",0.507
"RB","Cedric Peerman",3000,"Cin@Ind 01:05PM ET",0.625
