Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16
"PLAYER, TEAM POS",TYPE,ACTION,OPP,STATUS ET,    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS
"Phil Dawson, SF K",WA (Wed),,GB,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,8.9
"Josh Scobee, Pit K",WA (Wed),,Bal,Thu 8:25,0/0,0,0,0,0,0,0,0,0,0,8.8
"Matt Bryant, Atl K",WA (Wed),,Hou,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.5
"Justin Tucker, Bal K",ME,,@Pit,Thu 8:25,0/0,0,0,0,0,0,0,0,0,0,8.5
"Randy Bullock, Hou K",WA (Wed),,@Atl,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.4
"Mason Crosby, GB K",GARR,,@SF,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,8.4
"Dan Bailey, Dal K",SWIZ,,@NO,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,8.4
"Chandler Catanzaro, Ari K",SQUA,,StL,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,8.4
"Andrew Franks, Mia K",WA (Wed),,NYJ,Sun 9:30 AM,0/0,0,0,0,0,0,0,0,0,0,8.3
"Josh Lambo, SD K",WA (Wed),,Cle,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,8.3
"Cairo Santos, KC K",WA (Wed),,@Cin,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.1
"Graham Gano, Car K",WA (Wed),,@TB,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.1
"Zach Hocker, NO K",WA (Wed),,Dal,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,8
"Greg Zuerlein, StL K",WA (Wed),,@Ari,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,7.9
"Adam Vinatieri, Ind K",WA (Wed),,Jax,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.9
"Blair Walsh, Min K",WA (Wed),,@Den,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,7.9
"Dustin Hopkins, Wsh K",WA (Wed),,Phi,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.8
"Cody Parkey*, Phi K  IR",WA (Wed),,@Wsh,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.7
"Brandon McManus, Den K",HBOY,,Min,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,7.7
"Steven Hauschka, Sea K",GEIS,,Det,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,7.6
"Mike Nugent, Cin K",WA (Wed),,KC,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.5
"Josh Brown, NYG K",TD'S,,@Buf,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.5
"Robbie Gould, Chi K",DAMN,,Oak,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.5
"Matt Prater, Det K",HOT,,@Sea,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,7.5
"Dan Carpenter, Buf K",HBOY,,NYG,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.5
"Sebastian Janikowski, Oak K",WA (Wed),,@Chi,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.4
"Nick Folk, NYJ K",WA (Wed),,@Mia,Sun 9:30 AM,0/0,0,0,0,0,0,0,0,0,0,7.4
"Kyle Brindza, TB K",WA (Wed),,Car,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.3
"Jason Myers, Jax K",WA (Wed),,@Ind,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.2
"Travis Coons, Cle K",WA (Wed),,@SD,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,6.8
"Stephen Gostkowski, NE K",ðŸ˜˜,,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--,
"Ryan Succop, Ten K",WA (Wed),,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--,
"John Kasay, FA K",WA (Wed),,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,
"Jason Hanson, FA K",WA (Wed),,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,
"Olindo Mare, FA K",WA (Wed),,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,
"Ryan Longwell, FA K",WA (Wed),,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,
"David Akers, FA K",WA (Wed),,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,
"Kris Brown, FA K",WA (Wed),,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,
"Neil Rackers, FA K",WA (Wed),,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,
"Rian Lindell, TB K",WA (Wed),,Car,Sun 1:00,--/--,--,--,--,--,--,--,--,--,--,--
