"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Odell Beckham Jr.",9100,"NYG@Mia 08:30PM ET",22.892,"NYG"
"WR","Antonio Brown",8900,"Pit@Cin 01:00PM ET",24.900,"Pit"
"WR","Julio Jones",8900,"Atl@Car 01:00PM ET",24.567,"Atl"
"WR","DeAndre Hopkins",8500,"NE@Hou 08:30PM ET",23.325,"Hou"
"WR","Allen Robinson",8000,"Ind@Jax 01:00PM ET",20.917,"Jax"
"WR","A.J. Green",7900,"Pit@Cin 01:00PM ET",18.642,"Cin"
"QB","Tom Brady",7800,"NE@Hou 08:30PM ET",26.715,"NE"
"TE","Rob Gronkowski",7700,"NE@Hou 08:30PM ET",19.918,"NE"
"RB","Devonta Freeman",7700,"Atl@Car 01:00PM ET",24.064,"Atl"
"WR","Brandon Marshall",7600,"Ten@NYJ 01:00PM ET",22.350,"NYJ"
"WR","Julian Edelman",7500,"NE@Hou 08:30PM ET",19.611,"NE"
"QB","Cam Newton",7500,"Atl@Car 01:00PM ET",24.623,"Car"
"WR","Calvin Johnson",7400,"Det@StL 01:00PM ET",17.542,"Det"
"WR","Mike Evans",7200,"NO@TB 01:00PM ET",15.273,"TB"
"QB","Aaron Rodgers",7000,"Dal@GB 04:25PM ET",22.165,"GB"
"TE","Greg Olsen",6900,"Atl@Car 01:00PM ET",16.475,"Car"
"WR","Alshon Jeffery",6900,"Was@Chi 01:00PM ET",19.571,"Chi"
"QB","Drew Brees",6800,"NO@TB 01:00PM ET",22.125,"NO"
"QB","Ben Roethlisberger",6800,"Pit@Cin 01:00PM ET",24.260,"Pit"
"RB","Matt Forte",6800,"Was@Chi 01:00PM ET",17.033,"Chi"
"WR","Demaryius Thomas",6800,"Oak@Den 04:05PM ET",16.767,"Den"
"WR","Dez Bryant",6800,"Dal@GB 04:25PM ET",10.743,"Dal"
"RB","Todd Gurley",6800,"Det@StL 01:00PM ET",16.180,"StL"
"QB","Andy Dalton",6600,"Pit@Cin 01:00PM ET",21.987,"Cin"
"QB","Andrew Luck",6500,"Ind@Jax 01:00PM ET",21.406,"Ind"
"WR","Eric Decker",6400,"Ten@NYJ 01:00PM ET",17.191,"NYJ"
"QB","Russell Wilson",6300,"Sea@Bal 01:00PM ET",20.740,"Sea"
"WR","Randall Cobb",6300,"Dal@GB 04:25PM ET",14.117,"GB"
"WR","Jarvis Landry",6300,"NYG@Mia 08:30PM ET",17.930,"Mia"
"RB","Doug Martin",6200,"NO@TB 01:00PM ET",16.225,"TB"
"WR","Brandin Cooks",6200,"NO@TB 01:00PM ET",16.150,"NO"
"WR","Amari Cooper",6200,"Oak@Den 04:05PM ET",15.725,"Oak"
"QB","Matt Ryan",6100,"Atl@Car 01:00PM ET",17.378,"Atl"
"QB","Eli Manning",6100,"NYG@Mia 08:30PM ET",19.552,"NYG"
"RB","LeSean McCoy",6100,"Buf@Phi 01:00PM ET",17.010,"Buf"
"RB","Mark Ingram",6100,"NO@TB 01:00PM ET",17.283,"NO"
"WR","Sammy Watkins",6100,"Buf@Phi 01:00PM ET",15.833,"Buf"
"RB","DeAngelo Williams",6000,"Pit@Cin 01:00PM ET",13.858,"Pit"
"QB","Philip Rivers",6000,"SD@KC 01:00PM ET",21.368,"SD"
"RB","Marshawn Lynch",6000,"Sea@Bal 01:00PM ET",12.243,"Sea"
