Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16
"PLAYER, TEAM POS",TYPE,ACTION,OPP,STATUS ET,    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS
"Matt Forte, Chi RB",SQUA,,Oak,Sun 1:00,0/0,0,0,0,18.8,82.4,0.6,4.2,39.5,0.2,15.4
"Arian Foster, Hou RB  Q",TD'S,,@Atl,Sun 1:00,0/0,0,0,0,17.8,80.8,0.5,4,31.8,0.2,14.7
"Devonta Freeman, Atl RB",SQUA,,Hou,Sun 1:00,0/0,0,0,0,16.7,69.8,0.6,3.5,32.2,0.1,13.3
"Le'Veon Bell, Pit RB",GARR,,Bal,Thu 8:25,0/0,0,0,0,17,70.6,0.3,3.9,31.5,0.2,13.1
"Marshawn Lynch, Sea RB  Q",TD'S,,Det,Mon 8:30,0/0,0,0,0,19.9,85.4,0.6,2.4,19.4,0.1,13
"Eddie Lacy, GB RB",HOT,,@SF,Sun 4:25,0/0,0,0,0,19.3,79.1,0.5,2.8,20.2,0.2,12.9
"Jamaal Charles, KC RB",HBOY,,@Cin,Sun 1:00,0/0,0,0,0,14.7,66.9,0.5,3.9,33.4,0.2,12.6
"Adrian Peterson, Min RB",GEIS,,@Den,Sun 4:25,0/0,0,0,0,17.6,76.4,0.5,2.9,24,0.1,12
"Melvin Gordon, SD RB",SWIZ,,Cle,Sun 4:05,0/0,0,0,0,18.2,80.2,0.5,1.4,11.3,0.1,11.9
"Joseph Randle, Dal RB",GARR,,@NO,Sun 8:30,0/0,0,0,0,17.9,83.5,0.5,1.4,11.6,0.1,11.7
"LeSean McCoy, Buf RB  Q",GEIS,,NYG,Sun 1:00,0/0,0,0,0,15.9,68.1,0.5,2.8,20.3,0.1,11.7
"Latavius Murray, Oak RB",ðŸ˜˜,,@Chi,Sun 1:00,0/0,0,0,0,17,77.9,0.6,2.4,18.7,0.1,11.7
"Carlos Hyde, SF RB",SWIZ,,GB,Sun 4:25,0/0,0,0,0,16.3,72.3,0.6,1.4,10.9,0.1,11.6
"DeMarco Murray, Phi RB  Q",ðŸ˜˜,,@Wsh,Sun 1:00,0/0,0,0,0,15.2,64.5,0.5,2.8,22.2,0.1,11.5
"Chris Johnson, Ari RB",WA (Wed),,StL,Sun 4:25,0/0,0,0,0,18.2,77.9,0.4,2,16.2,0.1,10.9
"Jonathan Stewart, Car RB  P",ME,,@TB,Sun 1:00,0/0,0,0,0,17.5,78.8,0.4,2.2,15.6,0.1,10.5
"Lamar Miller, Mia RB",TD'S,,NYJ,Sun 9:30 AM,0/0,0,0,0,15.7,64.9,0.4,2.9,22.3,0.1,10.5
"Justin Forsett, Bal RB",DAMN,,@Pit,Thu 8:25,0/0,0,0,0,15.5,67.7,0.3,3.4,26,0.1,10.5
"Jeremy Hill, Cin RB",ME,,KC,Sun 1:00,0/0,0,0,0,16,71.7,0.6,0.9,7.2,0,10.3
"Frank Gore, Ind RB",HBOY,,Jax,Sun 1:00,0/0,0,0,0,17,65.7,0.5,2.1,17.3,0.1,10.2
"C.J. Anderson, Den RB",HOT,,Min,Sun 4:25,0/0,0,0,0,13.5,56.6,0.5,3.4,27.9,0.1,10.2
"Mark Ingram, NO RB",SWIZ,,Dal,Sun 8:30,0/0,0,0,0,13.1,51.3,0.6,2.5,18.7,0.1,9.8
"T.J. Yeldon, Jax RB",WA (Wed),,@Ind,Sun 1:00,0/0,0,0,0,15,59.2,0.4,3.2,25.8,0.1,9.6
"Chris Ivory, NYJ RB  Q",SQUA,,@Mia,Sun 9:30 AM,0/0,0,0,0,17.7,66.5,0.4,1.4,10.1,0.1,9.5
"Matt Jones, Wsh RB",WA (Wed),,Phi,Sun 1:00,0/0,0,0,0,14.2,58.7,0.4,1.3,10.1,0,8.7
"Giovani Bernard, Cin RB",ðŸ˜˜,,KC,Sun 1:00,0/0,0,0,0,9.9,42.5,0.3,3.5,27.3,0.1,8.5
"Danny Woodhead, SD RB",GEIS,,Cle,Sun 4:05,0/0,0,0,0,7.7,34.2,0.2,3.7,34.1,0.2,8.4
"Doug Martin, TB RB",SWIZ,,Car,Sun 1:00,0/0,0,0,0,15.6,59.5,0.3,1.8,14.2,0,7.7
"David Johnson, Ari RB",WA (Wed),,StL,Sun 4:25,0/0,0,0,0,8.4,38,0.3,3.1,25,0.1,7.7
"Isaiah Crowell, Cle RB",SQUA,,@SD,Sun 4:05,0/0,0,0,0,13.5,58.7,0.4,1,7.7,0,7.1
"C.J. Spiller, NO RB",HBOY,,Dal,Sun 8:30,0/0,0,0,0,4.6,20.5,0.1,4.6,39.4,0.2,6.8
"Ameer Abdullah, Det RB",HOT,,@Sea,Mon 8:30,0/0,0,0,0,9.8,39.6,0.2,3.2,26,0.1,6.7
"Duke Johnson Jr., Cle RB",GEIS,,@SD,Sun 4:05,0/0,0,0,0,9.5,41.8,0.2,2,16.5,0,6.6
"Ronnie Hillman, Den RB",WA (Wed),,Min,Sun 4:25,0/0,0,0,0,10.3,42.8,0.4,0.9,7.7,0,6.3
"Tre Mason, StL RB",HOT,,@Ari,Sun 4:25,0/0,0,0,0,10,43.7,0.2,1.9,15,0,6.1
"Alfred Morris, Wsh RB",GARR,,Phi,Sun 1:00,0/0,0,0,0,11.8,46,0.3,0.5,4.3,0,6
"Rashad Jennings, NYG RB",ME,,@Buf,Sun 1:00,0/0,0,0,0,9.5,35.6,0.2,1.4,11.1,0,5.6
"Shane Vereen, NYG RB",SWIZ,,@Buf,Sun 1:00,0/0,0,0,0,4.5,18,0.1,4,39,0.2,5.5
"Karlos Williams, Buf RB",WA (Wed),,NYG,Sun 1:00,0/0,0,0,0,8.2,34.9,0.4,0.8,6.5,0,5.4
"Bilal Powell, NYJ RB",WA (Wed),,@Mia,Sun 9:30 AM,0/0,0,0,0,6,20.7,0.1,3.1,24.4,0.1,5.2
